#N S gcc gcc(0) gcc(3) icc icc(0) icc(3) pgcc pgcc(0) pgcc(3)
100 1  304.8  291.4 1195.8 1198.4  373.3 1195.8 1086.2 1096.1 1190.0
100 2  368.5  369.8 1308.3 1275.2  383.0 1275.2 1019.8 1106.9 1215.4
100 4  368.7  366.2 1271.8 1306.0  385.3 1298.3 1178.9  963.0 1275.5
100 8  341.4  334.6 1211.8 1354.7  366.5 1380.4  890.2 1059.2 1178.9
100 16  332.7  335.6 1174.4 1249.4  360.2 1249.4  423.9  947.1 1087.4
100 32  266.3  276.4 1157.0 1223.8  335.5 1316.4  444.4  850.7 1157.0
100 64  264.2  270.6 1017.8 1244.5  286.9 1169.6  447.4  500.9 1017.8
1000 1  343.1  343.8 1269.6 1245.7  362.1 1245.8 1191.3 1198.4 1253.0
1000 2  326.1  331.8 1260.2 1240.5  376.4 1240.1 1171.6 1201.5 1245.7
1000 4  327.6  320.1 1244.0 1233.2  376.4 1230.6 1149.0 1189.9 1233.2
1000 8  315.1  310.6 1214.2 1205.2  370.9 1208.0 1081.8 1156.4 1199.1
1000 16  343.5  363.8 1246.4 1261.3  372.1 1273.5 1032.2 1165.3 1210.7
1000 32  350.7  347.5 1187.8 1284.4  373.1 1275.2 1086.8 1167.1 1147.2
1000 64  323.1  323.0 1187.8 1284.4  366.2 1278.3  922.8  906.9 1177.3
10000 1  336.2  340.9 1226.2 1228.2  351.1 1244.5 1170.5 1153.0 1223.2
10000 2  337.0  338.7  972.9 1022.6  351.4 1069.9  912.6  916.0 1021.0
10000 4  300.1  299.6  671.5  747.5  315.0  746.3  680.4  655.5  722.5
10000 8  269.5  266.9  434.4  421.6  271.2  385.9  388.4  432.6  434.5
10000 16  279.9  279.9  514.2  442.2  277.1  449.4  476.9  460.8  501.3
10000 32  272.4  276.5  516.5  450.7  277.5  450.9  476.9  448.6  505.9
10000 64  271.1  270.5  496.8  424.3  283.8  422.8  456.4  458.8  480.8
100000 1  334.4  334.6 1200.8 1195.1  345.9 1203.8 1092.9 1131.4 1137.6
100000 2  297.8  331.2  958.2 1001.8  345.6  975.2  920.4  908.7  935.9
100000 4  307.1  302.6  681.9  768.3  314.4  757.8  672.7  659.6  656.9
100000 8  268.9  270.6  399.5  407.1  263.4  393.4  408.6  420.3  382.5
100000 16  261.2  264.6  441.5  435.2  263.1  436.9  457.6  458.1  473.0
100000 32  270.1  266.6  472.0  424.1  270.2  419.4  456.9  461.0  478.9
100000 64  263.8  258.8  461.4  406.8  263.1  412.1  430.3  425.7  439.1
1000000 1  267.4  265.2  295.1  323.2  276.8  308.6  290.3  287.6  290.6
1000000 2  139.7  134.2  148.3  161.2  152.3  162.2  170.9  140.6  147.4
1000000 4   72.8   76.4   72.8   80.4   71.5   69.7   87.4   80.7   67.4
1000000 8   38.0   35.8   38.9   40.2   37.0   34.8   36.1   40.0   36.7
1000000 16   29.6   25.9   26.4   29.2   26.6   26.4   26.1   26.2   27.4
1000000 32   28.1   27.9   26.7   26.9   25.4   30.6   26.1   28.6   30.4
1000000 64   29.1   25.2   33.2   32.6   24.9   27.4   30.5   30.8   29.5
10000000 1  275.3  252.8  269.2  278.9  252.5  277.4  276.4  263.8  267.9
10000000 2  132.9  135.7  133.6  134.2  134.9  150.1  142.4  134.5  138.8
10000000 4   71.8   78.1   69.2   81.8   68.6   68.2   69.6   70.0   69.6
10000000 8   35.4   34.0   37.0   35.4   33.3   35.8   35.6   35.1   35.2
10000000 16   26.1   25.4   26.5   26.8   26.0   28.1   26.6   26.9   27.4
10000000 32   26.6   26.6   27.6   29.6   27.9   33.4   27.4   27.3   27.3
10000000 64   26.7   25.6   27.4   26.6   25.8   26.9   26.3   29.8   27.4
